pub_order,cycle,dataset,sequence_index,sequence_kind,payload_index,char_index,char_sent,bit_in_char,bit_sent,circuit_hash,transpile_hash
0,1,NULO,60,PAYLOAD,44,4,S,8,1,4cfd64574be51110,958794348209a838
1,2,NULO,38,PAYLOAD,22,2,N,4,1,4cfd64574be51110,958794348209a838
2,2,REAL,10,HEADER,-1,-1,,-1,0,f7f31345a1f8cd81,d6fdbd858942d985
3,1,PHAN_STRICT_POSTHOC,19,PAYLOAD,3,3,U,0,0,f7f31345a1f8cd81,d6fdbd858942d985
4,0,NULO,57,PAYLOAD,41,1,A,8,1,4cfd64574be51110,958794348209a838
5,1,REAL,13,HEADER,-1,-1,,-1,1,1145d10ea689307a,45d066a2b0da3167
6,2,REAL,38,PAYLOAD,22,2,N,4,1,1145d10ea689307a,45d066a2b0da3167
7,2,REAL,17,PAYLOAD,1,1,A,0,1,1145d10ea689307a,45d066a2b0da3167
8,0,NULO,39,PAYLOAD,23,3,U,4,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
9,1,NULO,34,PAYLOAD,18,3,U,3,1,4cfd64574be51110,958794348209a838
10,0,NULO,7,HEADER,-1,-1,,-1,1,4cfd64574be51110,958794348209a838
11,0,PHAN_STRICT_POSTHOC,42,PAYLOAD,26,1,A,5,0,f7f31345a1f8cd81,d6fdbd858942d985
12,0,REAL,8,HEADER,-1,-1,,-1,0,f7f31345a1f8cd81,d6fdbd858942d985
13,2,PHAN_STRICT_POSTHOC,37,PAYLOAD,21,1,A,4,0,f7f31345a1f8cd81,d6fdbd858942d985
14,1,NULO,52,PAYLOAD,36,1,A,7,1,4cfd64574be51110,958794348209a838
15,1,REAL,7,HEADER,-1,-1,,-1,1,1145d10ea689307a,45d066a2b0da3167
16,0,PHAN_STRICT_POSTHOC,55,PAYLOAD,39,4,S,7,1,f7f31345a1f8cd81,d6fdbd858942d985
17,1,REAL,16,PAYLOAD,0,0,J,0,0,f7f31345a1f8cd81,d6fdbd858942d985
18,1,NULO,9,HEADER,-1,-1,,-1,1,4cfd64574be51110,958794348209a838
19,0,PHAN_STRICT_POSTHOC,34,PAYLOAD,18,3,U,3,1,f7f31345a1f8cd81,d6fdbd858942d985
20,0,NULO,49,PAYLOAD,33,3,U,6,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
21,1,NULO,24,PAYLOAD,8,3,U,1,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
22,2,REAL,56,PAYLOAD,40,0,J,8,0,f7f31345a1f8cd81,d6fdbd858942d985
23,2,PHAN_STRICT_POSTHOC,19,PAYLOAD,3,3,U,0,0,f7f31345a1f8cd81,d6fdbd858942d985
24,1,NULO,23,PAYLOAD,7,2,N,1,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
25,2,REAL,8,HEADER,-1,-1,,-1,0,f7f31345a1f8cd81,d6fdbd858942d985
26,2,REAL,19,PAYLOAD,3,3,U,0,0,f7f31345a1f8cd81,d6fdbd858942d985
27,0,NULO,31,PAYLOAD,15,0,J,3,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
28,2,NULO,57,PAYLOAD,41,1,A,8,1,4cfd64574be51110,958794348209a838
29,1,REAL,34,PAYLOAD,18,3,U,3,1,1145d10ea689307a,45d066a2b0da3167
30,1,REAL,30,PAYLOAD,14,4,S,2,1,1145d10ea689307a,45d066a2b0da3167
31,2,NULO,23,PAYLOAD,7,2,N,1,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
32,1,REAL,9,HEADER,-1,-1,,-1,1,1145d10ea689307a,45d066a2b0da3167
33,1,PHAN_STRICT_POSTHOC,29,PAYLOAD,13,3,U,2,1,f7f31345a1f8cd81,d6fdbd858942d985
34,2,REAL,57,PAYLOAD,41,1,A,8,1,1145d10ea689307a,45d066a2b0da3167
35,1,PHAN_STRICT_POSTHOC,35,PAYLOAD,19,4,S,3,1,f7f31345a1f8cd81,d6fdbd858942d985
36,0,REAL,59,PAYLOAD,43,3,U,8,1,1145d10ea689307a,45d066a2b0da3167
37,2,NULO,28,PAYLOAD,12,2,N,2,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
38,1,REAL,50,PAYLOAD,34,4,S,6,1,1145d10ea689307a,45d066a2b0da3167
39,1,PHAN_STRICT_POSTHOC,58,PAYLOAD,42,2,N,8,0,f7f31345a1f8cd81,d6fdbd858942d985
40,1,PHAN_STRICT_POSTHOC,48,PAYLOAD,32,2,N,6,1,f7f31345a1f8cd81,d6fdbd858942d985
41,0,PHAN_STRICT_POSTHOC,25,PAYLOAD,9,4,S,1,0,f7f31345a1f8cd81,d6fdbd858942d985
