pub_order,cycle,dataset,sequence_index,sequence_kind,payload_index,char_index,char_sent,bit_in_char,bit_sent,circuit_hash,transpile_hash
0,0,REAL,25,PAYLOAD,21,1,A,4,0,f7f31345a1f8cd81,726a992f79be7350
1,0,REAL,23,PAYLOAD,19,4,S,3,1,1145d10ea689307a,9cfbcf6a75a7b12c
2,0,REAL,19,PAYLOAD,15,0,J,3,0,f7f31345a1f8cd81,726a992f79be7350
3,0,REAL,11,PAYLOAD,7,2,N,1,0,f7f31345a1f8cd81,726a992f79be7350
4,0,REAL,4,PAYLOAD,0,0,J,0,0,f7f31345a1f8cd81,726a992f79be7350
5,0,REAL,44,PAYLOAD,40,0,J,8,0,f7f31345a1f8cd81,726a992f79be7350
6,0,REAL,26,PAYLOAD,22,2,N,4,1,1145d10ea689307a,9cfbcf6a75a7b12c
7,0,REAL,9,PAYLOAD,5,0,J,1,1,1145d10ea689307a,9cfbcf6a75a7b12c
8,0,REAL,29,PAYLOAD,25,0,J,5,0,f7f31345a1f8cd81,726a992f79be7350
9,0,REAL,16,PAYLOAD,12,2,N,2,0,f7f31345a1f8cd81,726a992f79be7350
10,0,REAL,31,PAYLOAD,27,2,N,5,1,1145d10ea689307a,9cfbcf6a75a7b12c
11,0,REAL,21,PAYLOAD,17,2,N,3,1,1145d10ea689307a,9cfbcf6a75a7b12c
12,0,REAL,12,PAYLOAD,8,3,U,1,0,f7f31345a1f8cd81,726a992f79be7350
13,0,REAL,3,HEADER,-1,-1,,-1,1,1145d10ea689307a,9cfbcf6a75a7b12c
14,0,REAL,36,PAYLOAD,32,2,N,6,1,1145d10ea689307a,9cfbcf6a75a7b12c
15,0,REAL,38,PAYLOAD,34,4,S,6,1,1145d10ea689307a,9cfbcf6a75a7b12c
16,0,REAL,10,PAYLOAD,6,1,A,1,0,f7f31345a1f8cd81,726a992f79be7350
17,0,REAL,24,PAYLOAD,20,0,J,4,1,1145d10ea689307a,9cfbcf6a75a7b12c
18,0,REAL,48,PAYLOAD,44,4,S,8,1,1145d10ea689307a,9cfbcf6a75a7b12c
19,0,REAL,0,HEADER,-1,-1,,-1,0,f7f31345a1f8cd81,726a992f79be7350
20,0,REAL,42,PAYLOAD,38,3,U,7,1,1145d10ea689307a,9cfbcf6a75a7b12c
21,0,REAL,18,PAYLOAD,14,4,S,2,1,1145d10ea689307a,9cfbcf6a75a7b12c
22,0,REAL,32,PAYLOAD,28,3,U,5,1,1145d10ea689307a,9cfbcf6a75a7b12c
23,0,REAL,47,PAYLOAD,43,3,U,8,1,1145d10ea689307a,9cfbcf6a75a7b12c
24,0,REAL,33,PAYLOAD,29,4,S,5,0,f7f31345a1f8cd81,726a992f79be7350
25,0,REAL,30,PAYLOAD,26,1,A,5,0,f7f31345a1f8cd81,726a992f79be7350
26,0,REAL,28,PAYLOAD,24,4,S,4,0,f7f31345a1f8cd81,726a992f79be7350
27,0,REAL,20,PAYLOAD,16,1,A,3,0,f7f31345a1f8cd81,726a992f79be7350
28,0,REAL,22,PAYLOAD,18,3,U,3,1,1145d10ea689307a,9cfbcf6a75a7b12c
29,0,REAL,41,PAYLOAD,37,2,N,7,0,f7f31345a1f8cd81,726a992f79be7350
30,0,REAL,45,PAYLOAD,41,1,A,8,1,1145d10ea689307a,9cfbcf6a75a7b12c
31,0,REAL,35,PAYLOAD,31,1,A,6,0,f7f31345a1f8cd81,726a992f79be7350
32,0,REAL,43,PAYLOAD,39,4,S,7,1,1145d10ea689307a,9cfbcf6a75a7b12c
33,0,REAL,13,PAYLOAD,9,4,S,1,0,f7f31345a1f8cd81,726a992f79be7350
34,0,REAL,39,PAYLOAD,35,0,J,7,0,f7f31345a1f8cd81,726a992f79be7350
35,0,REAL,46,PAYLOAD,42,2,N,8,0,f7f31345a1f8cd81,726a992f79be7350
36,0,REAL,2,HEADER,-1,-1,,-1,0,f7f31345a1f8cd81,726a992f79be7350
37,0,REAL,27,PAYLOAD,23,3,U,4,0,f7f31345a1f8cd81,726a992f79be7350
38,0,REAL,37,PAYLOAD,33,3,U,6,0,f7f31345a1f8cd81,726a992f79be7350
39,0,REAL,5,PAYLOAD,1,1,A,0,1,1145d10ea689307a,9cfbcf6a75a7b12c
40,0,REAL,34,PAYLOAD,30,0,J,6,1,1145d10ea689307a,9cfbcf6a75a7b12c
41,0,REAL,6,PAYLOAD,2,2,N,0,0,f7f31345a1f8cd81,726a992f79be7350
42,0,REAL,8,PAYLOAD,4,4,S,0,1,1145d10ea689307a,9cfbcf6a75a7b12c
43,0,REAL,14,PAYLOAD,10,0,J,2,0,f7f31345a1f8cd81,726a992f79be7350
44,0,REAL,15,PAYLOAD,11,1,A,2,0,f7f31345a1f8cd81,726a992f79be7350
45,0,REAL,17,PAYLOAD,13,3,U,2,1,1145d10ea689307a,9cfbcf6a75a7b12c
46,0,REAL,1,HEADER,-1,-1,,-1,1,1145d10ea689307a,9cfbcf6a75a7b12c
47,0,REAL,7,PAYLOAD,3,3,U,0,0,f7f31345a1f8cd81,726a992f79be7350
48,0,REAL,40,PAYLOAD,36,1,A,7,1,1145d10ea689307a,9cfbcf6a75a7b12c
