pub_order,cycle,dataset,sequence_index,sequence_kind,payload_index,char_index,char_sent,bit_in_char,bit_sent,circuit_hash,transpile_hash
0,1,PHAN_STRICT_POSTHOC,6,PAYLOAD,2,2,N,0,0,f7f31345a1f8cd81,e21a13b453180fa1
1,1,REAL,34,PAYLOAD,30,0,J,6,1,1145d10ea689307a,d2c861a98ef8a254
2,0,REAL,24,PAYLOAD,20,0,J,4,1,1145d10ea689307a,d2c861a98ef8a254
3,0,REAL,19,PAYLOAD,15,0,J,3,0,f7f31345a1f8cd81,e21a13b453180fa1
4,1,PHAN_STRICT_POSTHOC,21,PAYLOAD,17,2,N,3,1,f7f31345a1f8cd81,e21a13b453180fa1
5,1,REAL,14,PAYLOAD,10,0,J,2,0,f7f31345a1f8cd81,e21a13b453180fa1
6,1,PHAN_STRICT_POSTHOC,20,PAYLOAD,16,1,A,3,0,f7f31345a1f8cd81,e21a13b453180fa1
7,0,NULO,6,PAYLOAD,2,2,N,0,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
8,1,REAL,6,PAYLOAD,2,2,N,0,0,f7f31345a1f8cd81,e21a13b453180fa1
9,0,NULO,42,PAYLOAD,38,3,U,7,1,4cfd64574be51110,fad32430e3bae1d3
10,0,REAL,38,PAYLOAD,34,4,S,6,1,1145d10ea689307a,d2c861a98ef8a254
11,1,PHAN_STRICT_POSTHOC,45,PAYLOAD,41,1,A,8,1,f7f31345a1f8cd81,e21a13b453180fa1
12,1,NULO,15,PAYLOAD,11,1,A,2,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
13,1,NULO,21,PAYLOAD,17,2,N,3,1,4cfd64574be51110,9cbcacc40de0f619
14,1,PHAN_STRICT_POSTHOC,5,PAYLOAD,1,1,A,0,1,f7f31345a1f8cd81,e21a13b453180fa1
15,0,NULO,37,PAYLOAD,33,3,U,6,0,ac38ecf3e7ea6c8f,717aace61ce4b072
16,0,REAL,1,HEADER,-1,-1,,-1,1,1145d10ea689307a,d2c861a98ef8a254
17,1,PHAN_STRICT_POSTHOC,30,PAYLOAD,26,1,A,5,0,f7f31345a1f8cd81,e21a13b453180fa1
18,0,PHAN_STRICT_POSTHOC,7,PAYLOAD,3,3,U,0,0,f7f31345a1f8cd81,e21a13b453180fa1
19,0,PHAN_STRICT_POSTHOC,40,PAYLOAD,36,1,A,7,1,f7f31345a1f8cd81,e21a13b453180fa1
20,0,NULO,24,PAYLOAD,20,0,J,4,1,4cfd64574be51110,fad32430e3bae1d3
21,1,NULO,34,PAYLOAD,30,0,J,6,1,4cfd64574be51110,9cbcacc40de0f619
22,0,PHAN_STRICT_POSTHOC,41,PAYLOAD,37,2,N,7,0,f7f31345a1f8cd81,e21a13b453180fa1
23,0,NULO,39,PAYLOAD,35,0,J,7,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
24,0,REAL,5,PAYLOAD,1,1,A,0,1,1145d10ea689307a,d2c861a98ef8a254
25,1,PHAN_STRICT_POSTHOC,25,PAYLOAD,21,1,A,4,0,f7f31345a1f8cd81,e21a13b453180fa1
26,1,NULO,42,PAYLOAD,38,3,U,7,1,4cfd64574be51110,fad32430e3bae1d3
27,0,PHAN_STRICT_POSTHOC,15,PAYLOAD,11,1,A,2,0,f7f31345a1f8cd81,e21a13b453180fa1
28,1,PHAN_STRICT_POSTHOC,28,PAYLOAD,24,4,S,4,0,f7f31345a1f8cd81,e21a13b453180fa1
29,0,REAL,48,PAYLOAD,44,4,S,8,1,1145d10ea689307a,d2c861a98ef8a254
30,0,NULO,12,PAYLOAD,8,3,U,1,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
31,1,NULO,43,PAYLOAD,39,4,S,7,1,4cfd64574be51110,fad32430e3bae1d3
32,1,REAL,48,PAYLOAD,44,4,S,8,1,1145d10ea689307a,d2c861a98ef8a254
33,1,REAL,19,PAYLOAD,15,0,J,3,0,f7f31345a1f8cd81,e21a13b453180fa1
34,0,NULO,36,PAYLOAD,32,2,N,6,1,4cfd64574be51110,9cbcacc40de0f619
35,0,REAL,37,PAYLOAD,33,3,U,6,0,f7f31345a1f8cd81,e21a13b453180fa1
36,1,PHAN_STRICT_POSTHOC,40,PAYLOAD,36,1,A,7,1,f7f31345a1f8cd81,e21a13b453180fa1
37,1,PHAN_STRICT_POSTHOC,26,PAYLOAD,22,2,N,4,1,f7f31345a1f8cd81,e21a13b453180fa1
38,1,REAL,37,PAYLOAD,33,3,U,6,0,f7f31345a1f8cd81,e21a13b453180fa1
39,0,NULO,33,PAYLOAD,29,4,S,5,0,ac38ecf3e7ea6c8f,717aace61ce4b072
