dataset,label,lote,n,q1_rate,consenso_mean_raw
NULO,Ativo,0,4096,0.51513671875,0.111083984375
NULO,Ativo,1,4096,0.510986328125,0.1005859375
NULO,Ativo,2,4096,0.525146484375,0.109619140625
NULO,Ativo,3,4096,0.498291015625,0.105224609375
NULO,Ativo,4,4096,0.498046875,0.10791015625
NULO,Placebo,0,4096,0.486083984375,0.101806640625
NULO,Placebo,1,4096,0.4716796875,0.101318359375
NULO,Placebo,2,4096,0.47412109375,0.112060546875
NULO,Placebo,3,4096,0.484375,0.1123046875
NULO,Placebo,4,4096,0.47021484375,0.09619140625
PHAN_LEGACY_IDENTICAL_PUBS,Ativo,0,4096,0.4873046875,0.130615234375
PHAN_LEGACY_IDENTICAL_PUBS,Ativo,1,4096,0.462158203125,0.124267578125
PHAN_LEGACY_IDENTICAL_PUBS,Ativo,2,4096,0.472900390625,0.120849609375
PHAN_LEGACY_IDENTICAL_PUBS,Ativo,3,4096,0.471435546875,0.12548828125
PHAN_LEGACY_IDENTICAL_PUBS,Ativo,4,4096,0.479248046875,0.1201171875
PHAN_LEGACY_IDENTICAL_PUBS,Placebo,0,4096,0.47021484375,0.140625
PHAN_LEGACY_IDENTICAL_PUBS,Placebo,1,4096,0.4609375,0.133056640625
PHAN_LEGACY_IDENTICAL_PUBS,Placebo,2,4096,0.475341796875,0.123046875
PHAN_LEGACY_IDENTICAL_PUBS,Placebo,3,4096,0.460693359375,0.118896484375
PHAN_LEGACY_IDENTICAL_PUBS,Placebo,4,4096,0.46923828125,0.1435546875
PHAN_STRICT_POSTHOC,Ativo,0,2048,0.47265625,0.1083984375
PHAN_STRICT_POSTHOC,Ativo,1,2048,0.4580078125,0.12109375
PHAN_STRICT_POSTHOC,Ativo,2,2048,0.4619140625,0.134765625
PHAN_STRICT_POSTHOC,Ativo,3,2048,0.4755859375,0.12646484375
PHAN_STRICT_POSTHOC,Ativo,4,2048,0.46826171875,0.134765625
PHAN_STRICT_POSTHOC,Placebo,0,2048,0.46240234375,0.1279296875
PHAN_STRICT_POSTHOC,Placebo,1,2048,0.45751953125,0.13427734375
PHAN_STRICT_POSTHOC,Placebo,2,2048,0.47802734375,0.119140625
PHAN_STRICT_POSTHOC,Placebo,3,2048,0.44970703125,0.130859375
PHAN_STRICT_POSTHOC,Placebo,4,2048,0.4697265625,0.126953125
REAL,Ativo,0,4096,0.493408203125,0.089111328125
REAL,Ativo,1,4096,0.5087890625,0.07568359375
REAL,Ativo,2,4096,0.501953125,0.0888671875
REAL,Ativo,3,4096,0.49951171875,0.082763671875
REAL,Ativo,4,4096,0.50390625,0.089599609375
REAL,Placebo,0,4096,0.462890625,0.12158203125
REAL,Placebo,1,4096,0.458740234375,0.129150390625
REAL,Placebo,2,4096,0.4775390625,0.137451171875
REAL,Placebo,3,4096,0.466064453125,0.12646484375
REAL,Placebo,4,4096,0.469970703125,0.13134765625
