dataset,mode,cycle,decoder,sequence_index,bit_true,bit_pred_hard,cost0,cost1,margin,payload_index,char_index,bit_in_char
NULO,RAW,aggregate,hard_vector,16,0,0,33.14947060746561,39.807519801580526,6.658049194114916,,,
NULO,RAW,aggregate,hard_vector,17,1,0,26.6929028114276,31.790847019893448,5.097944208465847,,,
NULO,RAW,aggregate,hard_vector,18,0,1,35.96263428529922,30.185499742674033,5.777134542625184,,,
NULO,RAW,aggregate,hard_vector,19,0,1,15.87299871071687,11.871369470716711,4.001629240000158,,,
NULO,RAW,aggregate,hard_vector,20,1,0,30.793224195317595,32.676332661676916,1.883108466359321,,,
NULO,RAW,aggregate,hard_vector,21,1,0,44.97075157803993,47.65488849718739,2.6841369191474627,,,
NULO,RAW,aggregate,hard_vector,22,0,0,24.649921236600466,24.683999484744877,0.03407824814441085,,,
NULO,RAW,aggregate,hard_vector,23,0,1,43.01623510415848,42.80743662597368,0.20879847818480357,,,
NULO,RAW,aggregate,hard_vector,24,0,0,26.466079216855245,28.35963289324266,1.8935536763874161,,,
NULO,RAW,aggregate,hard_vector,25,0,0,4.286954528375627,5.151930062448991,0.8649755340733636,,,
NULO,RAW,aggregate,hard_vector,26,0,0,20.567376129522486,23.071787410188414,2.504411280665927,,,
NULO,RAW,aggregate,hard_vector,27,0,0,76.94333462139903,85.81693194869639,8.873597327297361,,,
NULO,RAW,aggregate,hard_vector,28,0,0,5.824221564346534,8.54645898494366,2.7222374205971267,,,
NULO,RAW,aggregate,hard_vector,29,1,1,19.17655341422116,16.685714003595763,2.490839410625398,,,
NULO,RAW,aggregate,hard_vector,30,1,0,30.89147788220273,34.320290503651094,3.4288126214483654,,,
NULO,RAW,aggregate,hard_vector,31,0,1,5.478901905598817,4.572247072319823,0.9066548332789939,,,
NULO,RAW,aggregate,hard_vector,32,0,0,48.49655816069147,48.51445845785725,0.0179002971657809,,,
NULO,RAW,aggregate,hard_vector,33,1,1,28.233865910514762,26.51547129295082,1.7183946175639413,,,
NULO,RAW,aggregate,hard_vector,34,1,1,32.53087420434913,32.01406025039088,0.5168139539582555,,,
NULO,RAW,aggregate,hard_vector,35,1,0,33.61249656206925,38.85089784382035,5.238401281751095,,,
NULO,RAW,aggregate,hard_vector,36,1,0,11.596002176794054,13.757851511087612,2.1618493342935583,,,
NULO,RAW,aggregate,hard_vector,37,0,0,6.826592565241316,9.279620192910466,2.45302762766915,,,
NULO,RAW,aggregate,hard_vector,38,1,0,29.23408309504368,33.84033285671277,4.6062497616690905,,,
NULO,RAW,aggregate,hard_vector,39,0,1,11.377709212416988,10.160769633894342,1.2169395785226467,,,
NULO,RAW,aggregate,hard_vector,40,0,0,63.24412204087198,71.74978764686173,8.505665605989755,,,
NULO,RAW,aggregate,hard_vector,41,0,1,5.168769849476697,3.3465376245411296,1.8222322249355676,,,
NULO,RAW,aggregate,hard_vector,42,0,0,58.60712403303933,65.18477404513341,6.577650012094082,,,
NULO,RAW,aggregate,hard_vector,43,1,0,10.41046322699145,14.077847211212172,3.667383984220722,,,
NULO,RAW,aggregate,hard_vector,44,1,0,22.83337503519112,25.044890805257282,2.2115157700661605,,,
NULO,RAW,aggregate,hard_vector,45,0,0,23.506141006322235,26.955935218734414,3.449794212412179,,,
NULO,RAW,aggregate,hard_vector,46,1,0,20.12920400212738,22.72525178324114,2.5960477811137608,,,
NULO,RAW,aggregate,hard_vector,47,0,1,29.157787113332063,25.072158903738657,4.085628209593406,,,
NULO,RAW,aggregate,hard_vector,48,1,0,46.467054529945045,52.218461100083914,5.751406570138869,,,
NULO,RAW,aggregate,hard_vector,49,0,0,46.27248214076431,50.90603953578292,4.633557395018606,,,
NULO,RAW,aggregate,hard_vector,50,1,0,15.736127922049123,18.23274152453485,2.4966136024857253,,,
NULO,RAW,aggregate,hard_vector,51,0,0,61.08909230594343,62.1684593100105,1.0793670040670662,,,
NULO,RAW,aggregate,hard_vector,52,1,0,20.360212383038228,25.117907664344465,4.757695281306237,,,
NULO,RAW,aggregate,hard_vector,53,0,0,19.089812290728776,19.84853696888727,0.7587246781584938,,,
NULO,RAW,aggregate,hard_vector,54,1,0,28.7898344435379,28.873541914994593,0.08370747145669455,,,
NULO,RAW,aggregate,hard_vector,55,1,0,8.090494491431839,8.212247166260424,0.12175267482858487,,,
NULO,RAW,aggregate,hard_vector,56,0,0,17.498575079043132,20.248634788337647,2.750059709294515,,,
NULO,RAW,aggregate,hard_vector,57,1,0,14.922389326299765,19.357555793130516,4.435166466830751,,,
NULO,RAW,aggregate,hard_vector,58,0,0,22.658757977302415,22.89207383466748,0.2333158573650671,,,
NULO,RAW,aggregate,hard_vector,59,1,0,8.539477772509187,11.42509271613774,2.8856149436285534,,,
NULO,RAW,aggregate,hard_vector,60,1,0,2.5007887921424428,4.172827668783156,1.672038876640713,,,
NULO,RAW,aggregate,soft_vector_codebook,16,0,0,33.14947060746561,39.807519801580526,6.658049194114916,0.0,0.0,0.0
NULO,RAW,aggregate,soft_vector_codebook,17,1,0,26.6929028114276,31.790847019893448,5.097944208465847,1.0,1.0,0.0
NULO,RAW,aggregate,soft_vector_codebook,18,0,1,35.96263428529922,30.185499742674033,5.777134542625184,2.0,2.0,0.0
