dataset,mode,sequence_index,sequence_kind,payload_index,char_index,bit_in_char,bit_sent,cycle,e1_mean,e2_mean,e3_mean,cons_mean,e1_minus_e2,e1_minus_e3,e2_minus_e3,e1_ratio_e2,e2_ratio_e1,e1_share,e2_share,e3_share,e1_var,e2_var,e3_var,cons_var,e1_flicker,e2_flicker,e3_flicker,cons_flicker,cycle_scope
NULO,RAW,0,HEADER,-1,-1,-1,0,0,0.029296875,0.04296875,0.01953125,0.091796875,-0.013671875,0.009765625,0.0234375,0.6818023144188644,1.4666166061531767,0.3191454595218027,0.4680800072986439,0.21276363968120177,0.028438568115234375,0.0411224365234375,0.0191497802734375,0.08337020874023438,0.05870841487279843,0.07436399217221135,0.03913894324853229,0.1643835616438356,cycle
NULO,RAW,1,HEADER,-1,-1,-1,1,0,0.0390625,0.03515625,0.02734375,0.1015625,0.00390625,0.01171875,0.0078125,1.111079507071799,0.8999769605898089,0.3846115976704229,0.3461504379033806,0.26922811836929605,0.03753662109375,0.0339202880859375,0.0265960693359375,0.09515380859375,0.07045009784735812,0.07045009784735812,0.0547945205479452,0.18395303326810175,cycle
NULO,RAW,2,HEADER,-1,-1,-1,0,0,0.03125,0.044921875,0.0390625,0.115234375,-0.013671875,-0.0078125,0.005859375,0.6956366884354575,1.4374540014719528,0.27118408735164873,0.3898271255679951,0.33898010918956095,0.0302734375,0.042903900146484375,0.03753662109375,0.10976791381835938,0.06262230919765166,0.09001956947162426,0.07436399217221135,0.2035225048923679,cycle
NULO,RAW,3,HEADER,-1,-1,-1,1,0,0.03125,0.0390625,0.017578125,0.087890625,-0.0078125,0.013671875,0.021484375,0.7999795205242746,1.249960001279959,0.3555515101694843,0.44443938771185537,0.19999772447033493,0.0302734375,0.03753662109375,0.017269134521484375,0.10360336303710938,0.06262230919765166,0.07827788649706457,0.03522504892367906,0.16829745596868884,cycle
NULO,RAW,4,HEADER,-1,-1,-1,0,0,0.0234375,0.01953125,0.025390625,0.068359375,0.00390625,-0.001953125,-0.005859375,1.1999385631455668,0.83329777929475,0.34285212742030746,0.28571010618358955,0.3714231380386664,0.02288818359375,0.0191497802734375,0.024745941162109375,0.06368637084960938,0.046966731898238745,0.03913894324853229,0.050880626223091974,0.11350293542074363,cycle
NULO,RAW,5,HEADER,-1,-1,-1,1,0,0.0390625,0.03125,0.025390625,0.095703125,0.0078125,0.013671875,0.005859375,1.249960001279959,0.7999795205242746,0.4081590004610564,0.32652720036884514,0.26530335029968666,0.03753662109375,0.0302734375,0.024745941162109375,0.11779403686523438,0.07827788649706457,0.06262230919765166,0.050880626223091974,0.1917808219178082,cycle
NULO,RAW,6,HEADER,-1,-1,-1,0,0,0.03515625,0.029296875,0.029296875,0.09375,0.005859375,0.005859375,0.0,1.1999590413980536,0.8333096303038491,0.3749960000426662,0.3124966667022218,0.3124966667022218,0.0339202880859375,0.028438568115234375,0.028438568115234375,0.0927734375,0.06262230919765166,0.05675146771037182,0.0547945205479452,0.15851272015655576,cycle
NULO,RAW,7,HEADER,-1,-1,-1,1,0,0.02734375,0.029296875,0.0390625,0.095703125,-0.001953125,-0.01171875,-0.009765625,0.9333014766429305,1.0713893891880526,0.2857113003227395,0.3061192503457923,0.4081590004610564,0.0265960693359375,0.028438568115234375,0.03753662109375,0.10216903686523438,0.0547945205479452,0.0547945205479452,0.07436399217221135,0.17221135029354206,cycle
NULO,RAW,8,HEADER,-1,-1,-1,0,0,0.0390625,0.03125,0.021484375,0.091796875,0.0078125,0.017578125,0.009765625,1.249960001279959,0.7999795205242746,0.42552727936240353,0.34042182348992284,0.23404000364932195,0.03753662109375,0.0302734375,0.021022796630859375,0.09508895874023438,0.07045009784735812,0.05870841487279843,0.043052837573385516,0.16829745596868884,cycle
NULO,RAW,9,HEADER,-1,-1,-1,1,0,0.046875,0.0546875,0.02734375,0.12890625,-0.0078125,0.01953125,0.02734375,0.8571271839600647,1.1666417783087293,0.36363354272160797,0.4242391331752093,0.21211956658760464,0.044677734375,0.05169677734375,0.0265960693359375,0.1240081787109375,0.0821917808219178,0.09784735812133072,0.0547945205479452,0.2191780821917808,cycle
NULO,RAW,10,HEADER,-1,-1,-1,0,0,0.037109375,0.03125,0.029296875,0.09765625,0.005859375,0.0078125,0.001953125,1.1874620012159611,0.8420825712486063,0.37999610883984547,0.3199967232335541,0.29999692803145694,0.035732269287109375,0.0302734375,0.028438568115234375,0.0920257568359375,0.07045009784735812,0.06262230919765166,0.05870841487279843,0.18395303326810175,cycle
NULO,RAW,11,HEADER,-1,-1,-1,1,0,0.037109375,0.03515625,0.03125,0.103515625,0.001953125,0.005859375,0.00390625,1.0555255317182088,0.9473428926546821,0.3584871029170435,0.33961936065825177,0.30188387614066825,0.035732269287109375,0.0339202880859375,0.0302734375,0.10061264038085938,0.07240704500978473,0.06653620352250489,0.06262230919765166,0.20156555772994128,cycle
NULO,RAW,12,HEADER,-1,-1,-1,0,0,0.02734375,0.044921875,0.0234375,0.095703125,-0.017578125,0.00390625,0.021484375,0.6086821023810253,1.6427970634216804,0.2857113003227395,0.4693828505302149,0.24489540027663384,0.0265960693359375,0.042903900146484375,0.02288818359375,0.09435653686523438,0.0547945205479452,0.09001956947162426,0.043052837573385516,0.17221135029354206,cycle
NULO,RAW,13,HEADER,-1,-1,-1,1,0,0.0390625,0.04296875,0.029296875,0.111328125,-0.00390625,0.009765625,0.013671875,0.9090697525584859,1.0999718407208776,0.35087404127176963,0.3859614453989466,0.2631555309538272,0.03753662109375,0.0411224365234375,0.028438568115234375,0.10674667358398438,0.07436399217221135,0.08610567514677103,0.0547945205479452,0.21526418786692758,cycle
NULO,RAW,14,HEADER,-1,-1,-1,0,0,0.033203125,0.03125,0.017578125,0.08203125,0.001953125,0.015625,0.013671875,1.0624660010879652,0.9411481254211638,0.40475697058169197,0.380947737018063,0.21428310207266044,0.032100677490234375,0.0302734375,0.017269134521484375,0.0909271240234375,0.06262230919765166,0.060665362035225046,0.03522504892367906,0.15851272015655576,cycle
NULO,RAW,15,HEADER,-1,-1,-1,1,0,0.037109375,0.02734375,0.021484375,0.0859375,0.009765625,0.015625,0.005859375,1.3570932263048665,0.7368222498425305,0.431813157083263,0.3181781157455622,0.24999709094294176,0.035732269287109375,0.0265960693359375,0.021022796630859375,0.08636474609375,0.07436399217221135,0.043052837573385516,0.03913894324853229,0.14481409001956946,cycle
NULO,RAW,16,PAYLOAD,0,0,0,0,0,0.033203125,0.02734375,0.03515625,0.095703125,0.005859375,-0.001953125,-0.0078125,1.2142413077464596,0.8235046097435182,0.34693515039189793,0.2857113003227395,0.3673431004149508,0.032100677490234375,0.0265960693359375,0.0339202880859375,0.09045028686523438,0.05870841487279843,0.0547945205479452,0.06262230919765166,0.15655577299412915,cycle
NULO,RAW,17,PAYLOAD,1,1,0,1,0,0.0390625,0.02734375,0.021484375,0.087890625,0.01171875,0.017578125,0.005859375,1.42851918558407,0.6999820804587402,0.44443938771185537,0.31110757139829875,0.24444166324152045,0.03753662109375,0.0265960693359375,0.021022796630859375,0.08407211303710938,0.07632093933463796,0.0547945205479452,0.043052837573385516,0.15851272015655576,cycle
NULO,RAW,18,PAYLOAD,2,2,0,0,0,0.0234375,0.04296875,0.0234375,0.08984375,-0.01953125,0.0,0.01953125,0.5454418515350915,1.8332551144484501,0.26086666165802674,0.47825554637304907,0.26086666165802674,0.02288818359375,0.0411224365234375,0.02288818359375,0.0973968505859375,0.046966731898238745,0.08610567514677103,0.046966731898238745,0.1643835616438356,cycle
NULO,RAW,19,PAYLOAD,3,3,0,0,0,0.037109375,0.04296875,0.03125,0.111328125,-0.005859375,0.005859375,0.01171875,0.8636162649305617,1.1578635354668336,0.33333033920818117,0.3859614453989466,0.28069923301741573,0.035732269287109375,0.0411224365234375,0.0302734375,0.11065292358398438,0.06653620352250489,0.08610567514677103,0.06262230919765166,0.20743639921722112,cycle
