dataset,mode,cycle,decoder,char_index,expected_char,decoded_char,selected_code9,selected_bits5,best_cost,second_char,second_code9,second_cost,soft_margin,ok_char
NULO,RAW,aggregate,soft_vector_codebook,0,J,D,010101000,00100,219.60339349494444, ,000000000,219.64814363401155,0.04475013906710501,False
NULO,RAW,aggregate,soft_vector_codebook,1,A,J,010010100,01010,305.05829991728945, ,000000000,306.6568222510693,1.5985223337798402,False
NULO,RAW,aggregate,soft_vector_codebook,2,N,A,100000011,00001,236.11203397722875,P,111000000,237.6334323841175,1.5213984068887498,False
NULO,RAW,aggregate,soft_vector_codebook,3,U,H,100110000,01000,206.12400137808083,T,101101000,207.06161731604425,0.9376159379634146,False
NULO,RAW,aggregate,soft_vector_codebook,4,S, ,000000000,00000,212.6618274207828,A,100000011,216.33872743861144,3.6769000178286433,False
NULO,POST_Q1_1,aggregate,soft_vector_codebook,0,J,J,010010100,01010,191.00910330846344, ,000000000,192.93300504388435,1.9239017354209125,True
NULO,POST_Q1_1,aggregate,soft_vector_codebook,1,A,H,100110000,01000,207.079170223135,B,110100100,207.85109803481726,0.7719278116822466,False
NULO,POST_Q1_1,aggregate,soft_vector_codebook,2,N,A,100000011,00001,204.44715534295173,H,100110000,209.70208659704974,5.254931254098011,False
NULO,POST_Q1_1,aggregate,soft_vector_codebook,3,U,Z,101010100,11010,195.55008723705907,P,111000000,198.30105246463785,2.7509652275787744,False
NULO,POST_Q1_1,aggregate,soft_vector_codebook,4,S,Q,011000011,10001,327.0692062705617,A,100000011,327.16784216991414,0.09863589935241635,False
PHAN_STRICT_POSTHOC,RAW,aggregate,soft_vector_codebook,0,J,X,011110000,11000,367.6659154318254,M,010011011,373.87214772933874,6.206232297513338,False
PHAN_STRICT_POSTHOC,RAW,aggregate,soft_vector_codebook,1,A,Q,011000011,10001,217.36605609840453,M,010011011,224.44141845596548,7.075362357560948,False
PHAN_STRICT_POSTHOC,RAW,aggregate,soft_vector_codebook,2,N,Y,111110011,11001,188.8111771976847,E,110101011,194.01978166270112,5.208604465016407,False
PHAN_STRICT_POSTHOC,RAW,aggregate,soft_vector_codebook,3,U,L,110011000,01100,201.3352883015785,F,100001100,204.46273694426554,3.1274486426870567,False
PHAN_STRICT_POSTHOC,RAW,aggregate,soft_vector_codebook,4,S,V,011001100,10110,258.9750288981637,R,001100100,262.5156884049784,3.540659506814677,False
PHAN_STRICT_POSTHOC,POST_Q1_1,aggregate,soft_vector_codebook,0,J,Y,111110011,11001,222.18261449809518,Q,011000011,230.21579687018527,8.033182372090096,False
PHAN_STRICT_POSTHOC,POST_Q1_1,aggregate,soft_vector_codebook,1,A,Z,101010100,11010,156.28985387978122,K,110010111,160.97446908110987,4.684615201328654,False
PHAN_STRICT_POSTHOC,POST_Q1_1,aggregate,soft_vector_codebook,2,N,E,110101011,00101,153.46766123597837,C,010100111,159.2465465339444,5.778885297966042,False
PHAN_STRICT_POSTHOC,POST_Q1_1,aggregate,soft_vector_codebook,3,U,O,100111111,01111,267.21814385673247,L,110011000,268.3753470647372,1.1572032080047165,False
PHAN_STRICT_POSTHOC,POST_Q1_1,aggregate,soft_vector_codebook,4,S,N,000111100,01110,213.3427868120771,D,010101000,218.4616277516654,5.118840939588296,False
REAL,RAW,aggregate,soft_vector_codebook,0,J,Q,011000011,10001,452.25310327051204,W,111001111,483.22212662458986,30.96902335407782,False
REAL,RAW,aggregate,soft_vector_codebook,1,A,P,111000000,10000,263.7347601424196,L,110011000,265.248072030119,1.5133118876993876,False
REAL,RAW,aggregate,soft_vector_codebook,2,N,H,100110000,01000,513.9949332736929,X,011110000,559.0624198849808,45.067486611287904,False
REAL,RAW,aggregate,soft_vector_codebook,3,U,U,001101011,10101,309.04004556095356,R,001100100,350.39584819989193,41.35580263893837,True
REAL,RAW,aggregate,soft_vector_codebook,4,S,S,101100111,10011,518.1027629568981,K,110010111,556.0582962022816,37.955533245383435,True
REAL,POST_Q1_1,aggregate,soft_vector_codebook,0,J,J,010010100,01010,147.40253813704987,V,011001100,226.8638128921844,79.46127475513453,True
REAL,POST_Q1_1,aggregate,soft_vector_codebook,1,A,A,100000011,00001,156.84987900808528,K,110010111,226.87184771449668,70.0219687064114,True
REAL,POST_Q1_1,aggregate,soft_vector_codebook,2,N,N,000111100,01110,156.9174205315961,H,100110000,249.54138459490113,92.62396406330504,True
REAL,POST_Q1_1,aggregate,soft_vector_codebook,3,U,U,001101011,10101,146.22100020643,R,001100100,251.59581404183615,105.37481383540614,True
REAL,POST_Q1_1,aggregate,soft_vector_codebook,4,S,S,101100111,10011,164.7969378057007,C,010100111,256.22396218073504,91.42702437503434,True
