dataset,mode,cycle,decoder,char_index,expected_char,decoded_char,selected_code9,selected_bits5,best_cost,second_char,second_code9,second_cost,soft_margin,ok_char
NULO,RAW,0,soft_vector_codebook,0,J,A,100000011,00001,262.3605084127102,G,000001111,286.8953862705502,24.53487785784,False
NULO,RAW,0,soft_vector_codebook,1,A,P,111000000,10000,207.15177804523213,J,010010100,216.2455930084705,9.093814963238373,False
NULO,RAW,0,soft_vector_codebook,2,N,G,000001111,00111,267.5179336800165,O,100111111,277.1519538600454,9.634020180028926,False
NULO,RAW,0,soft_vector_codebook,3,U,P,111000000,10000,186.62559502606496,X,011110000,202.5197623604723,15.894167334407342,False
NULO,RAW,0,soft_vector_codebook,4,S,D,010101000,00100,156.9018624867256,V,011001100,157.1057165670401,0.2038540803144997,False
NULO,RAW,1,soft_vector_codebook,0,J,Z,101010100,11010,198.09555528437969,J,010010100,201.9169021987378,3.8213469143581165,False
NULO,RAW,1,soft_vector_codebook,1,A,Z,101010100,11010,278.43647510426047,Y,111110011,279.88104492519335,1.4445698209328839,False
NULO,RAW,1,soft_vector_codebook,2,N,Z,101010100,11010,267.3452852563236,V,011001100,276.75388453873325,9.408599282409625,False
NULO,RAW,1,soft_vector_codebook,3,U,V,011001100,10110,219.59888787016297,P,111000000,231.75960341497535,12.160715544812376,False
NULO,RAW,1,soft_vector_codebook,4,S,L,110011000,01100,359.90507925866996,N,000111100,367.4136673379079,7.5085880792379385,False
NULO,RAW,2,soft_vector_codebook,0,J,R,001100100,10010,97.69695811491225, ,000000000,104.49135271758752,6.794394602675268,False
NULO,RAW,2,soft_vector_codebook,1,A,N,000111100,01110,153.99748751213016,H,100110000,154.06682378057533,0.06933626844516994,False
NULO,RAW,2,soft_vector_codebook,2,N,D,010101000,00100,164.15660828048362,B,110100100,175.6986752185037,11.54206693802007,False
NULO,RAW,2,soft_vector_codebook,3,U,H,100110000,01000,162.6436045447,Z,101010100,164.5608789736616,1.9172744289616048,False
NULO,RAW,2,soft_vector_codebook,4,S, ,000000000,00000,134.67466121624392,P,111000000,134.9679987678965,0.29333755165257,False
NULO,POST_Q1_1,0,soft_vector_codebook,0,J,M,010011011,01101,161.98115722948432,A,100000011,162.02409126832583,0.04293403884150848,False
NULO,POST_Q1_1,0,soft_vector_codebook,1,A, ,000000000,00000,109.96109210436575,P,111000000,113.6438841454983,3.682792041132558,False
NULO,POST_Q1_1,0,soft_vector_codebook,2,N,K,110010111,01011,118.33068818196494,O,100111111,139.0488640186129,20.71817583664796,False
NULO,POST_Q1_1,0,soft_vector_codebook,3,U,P,111000000,10000,99.89969973667488,L,110011000,110.7614194838448,10.861719747169928,False
NULO,POST_Q1_1,0,soft_vector_codebook,4,S,L,110011000,01100,162.46033158306037,X,011110000,171.05651654579157,8.5961849627312,False
NULO,POST_Q1_1,1,soft_vector_codebook,0,J,J,010010100,01010,177.65107126502278,N,000111100,180.8205202893409,3.169449024318112,True
NULO,POST_Q1_1,1,soft_vector_codebook,1,A,D,010101000,00100,464.4216963682479, ,000000000,469.5170437943077,5.095347426059789,False
NULO,POST_Q1_1,1,soft_vector_codebook,2,N,A,100000011,00001,302.10880305002155,E,110101011,304.203829683134,2.095026633112468,False
NULO,POST_Q1_1,1,soft_vector_codebook,3,U,L,110011000,01100,140.98980246180474,P,111000000,141.40628975960567,0.4164872978009271,False
NULO,POST_Q1_1,1,soft_vector_codebook,4,S,W,111001111,10111,664.1569363751012,G,000001111,664.3922335603401,0.23529718523889187,False
NULO,POST_Q1_1,2,soft_vector_codebook,0,J,D,010101000,00100,178.16348892217462,N,000111100,180.4566700728444,2.293181150669767,False
NULO,POST_Q1_1,2,soft_vector_codebook,1,A,H,100110000,01000,306.3324319271536,I,000110011,326.4901360110052,20.15770408385157,False
NULO,POST_Q1_1,2,soft_vector_codebook,2,N,D,010101000,00100,148.96988256596472,B,110100100,156.14392890968844,7.174046343723717,False
NULO,POST_Q1_1,2,soft_vector_codebook,3,U,O,100111111,01111,176.84439017616342,N,000111100,187.8090714296376,10.964681253474197,False
NULO,POST_Q1_1,2,soft_vector_codebook,4,S,U,001101011,10101,206.58979399860502,G,000001111,210.78970140448752,4.199907405882499,False
PHAN_STRICT_POSTHOC,RAW,0,soft_vector_codebook,0,J, ,000000000,00000,370.00079036657786,D,010101000,373.7289762268387,3.728185860260851,False
PHAN_STRICT_POSTHOC,RAW,0,soft_vector_codebook,1,A,X,011110000,11000,159.08750410925902,C,010100111,159.20464920523878,0.1171450959797653,False
PHAN_STRICT_POSTHOC,RAW,0,soft_vector_codebook,2,N,Q,011000011,10001,142.8306187521497,C,010100111,145.6042184663361,2.7735997141864175,False
PHAN_STRICT_POSTHOC,RAW,0,soft_vector_codebook,3,U, ,000000000,00000,191.712464960808,J,010010100,196.8956067913996,5.18314183059158,False
PHAN_STRICT_POSTHOC,RAW,0,soft_vector_codebook,4,S,Z,101010100,11010,162.14329710227767,F,100001100,168.4513731635388,6.308076061261119,False
PHAN_STRICT_POSTHOC,RAW,1,soft_vector_codebook,0,J,R,001100100,10010,214.488174237884, ,000000000,224.06076291757736,9.572588679693354,False
PHAN_STRICT_POSTHOC,RAW,1,soft_vector_codebook,1,A,J,010010100,01010,222.8275202680363,K,110010111,226.6651560576096,3.837635789573312,False
