dataset,mode,cycle,decoder,decoded_message,expected_message,payload_bit_accuracy,char_accuracy,bits_received,hamming_corrected_count,status
NULO,RAW,aggregate,hard_vector,D BH ,JANUS,0.4444444444444444,0.0,001100010000010101100001010000010000000000000,4.0,ok
NULO,RAW,aggregate,soft_vector_codebook,DJAH ,JANUS,0.35555555555555557,0.0,001101100000000100100101010000010000010000100,,ok
NULO,POST_Q1_1,aggregate,hard_vector,JD ZQ,JANUS,0.5111111111111111,0.2,001101100100010011001001000000000000010100001,4.0,ok
NULO,POST_Q1_1,aggregate,soft_vector_codebook,JHAZQ,JANUS,0.5111111111111111,0.2,011101000100011010001101000000100100010100101,,ok
PHAN_STRICT_POSTHOC,RAW,aggregate,hard_vector,?QYLV,JANUS,0.4,0.0,001101110111101001011101010011000011110001100,4.0,ok
PHAN_STRICT_POSTHOC,RAW,aggregate,soft_vector_codebook,XQYLV,JANUS,0.4222222222222222,0.0,001101111111101101001011000011000010110001100,,ok
PHAN_STRICT_POSTHOC,POST_Q1_1,aggregate,hard_vector,Q?ELN,JANUS,0.4,0.0,011101010011000101110101100011010001111011100,4.0,ok
PHAN_STRICT_POSTHOC,POST_Q1_1,aggregate,soft_vector_codebook,YZEON,JANUS,0.4,0.0,111101010011000101111101100111010111011010110,,ok
REAL,RAW,aggregate,hard_vector,?LH?S,JANUS,0.7555555555555555,0.2,010011100010011001111011001010100010001110000,3.0,ok
REAL,RAW,aggregate,soft_vector_codebook,QPHUS,JANUS,0.7333333333333333,0.4,011011100011011001110010000010000011001110011,,ok
REAL,POST_Q1_1,aggregate,hard_vector,JANUS,JANUS,1.0,1.0,010011000000011001111010000110101010101101011,0.0,ok
REAL,POST_Q1_1,aggregate,soft_vector_codebook,JANUS,JANUS,1.0,1.0,010011000000011001111010000110101010101101011,,ok
