dataset,mode,sequence_index,sequence_kind,payload_index,char_index,char_sent,bit_in_char,bit_sent,n,cons_mean,cons_var,cons_std,cons_skew,cons_kurt,cons_flicker,e1_mean,e2_mean,e3_mean,e1_var,e2_var,e3_var,e1_flicker,e2_flicker,e3_flicker
REAL,RAW,0,HEADER,-1,-1,,-1,0,512.0,0.125,0.11328125,0.3365728004459065,2.4204426838250215,4.429250891795478,0.22700587084148727,0.05859375,0.017578125,0.048828125,0.0551605224609375,0.017269134521484375,0.046443939208984375,0.10567514677103718,0.03522504892367906,0.09393346379647749
REAL,RAW,1,HEADER,-1,-1,,-1,1,512.0,0.091796875,0.09118270874023438,0.3019647475124114,3.2450820175174604,10.1093604046388,0.17025440313111545,0.0390625,0.029296875,0.0234375,0.03753662109375,0.028438568115234375,0.02288818359375,0.07827788649706457,0.0547945205479452,0.0410958904109589
REAL,RAW,2,HEADER,-1,-1,,-1,0,512.0,0.140625,0.136474609375,0.3694247005480278,2.5218404230433507,5.692333293864271,0.25048923679060664,0.056640625,0.015625,0.068359375,0.053432464599609375,0.015380859375,0.06368637084960938,0.11154598825831702,0.0273972602739726,0.1350293542074364
REAL,RAW,3,HEADER,-1,-1,,-1,1,512.0,0.0859375,0.08245849609375,0.28715587421076727,3.1996509827800086,9.284813015114498,0.16829745596868884,0.03125,0.029296875,0.025390625,0.0302734375,0.028438568115234375,0.024745941162109375,0.06262230919765166,0.05870841487279843,0.050880626223091974
REAL,RAW,4,PAYLOAD,0,0,J,0,0,512.0,0.154296875,0.14220809936523438,0.37710489172806333,2.236785104140764,3.9926891878082156,0.26614481409001955,0.07421875,0.025390625,0.0546875,0.0687103271484375,0.024745941162109375,0.05169677734375,0.12915851272015655,0.050880626223091974,0.1095890410958904
REAL,RAW,5,PAYLOAD,1,1,A,0,1,512.0,0.078125,0.075927734375,0.2755498763835687,3.4208855777478013,10.92621044033871,0.1487279843444227,0.015625,0.03125,0.03125,0.015380859375,0.0302734375,0.0302734375,0.03131115459882583,0.05870841487279843,0.06262230919765166
REAL,RAW,6,PAYLOAD,2,2,N,0,0,512.0,0.13671875,0.1258392333984375,0.3547382604096117,2.374260187065632,4.513625356584356,0.2309197651663405,0.0703125,0.017578125,0.048828125,0.06536865234375,0.017269134521484375,0.046443939208984375,0.12915851272015655,0.03522504892367906,0.09393346379647749
REAL,RAW,7,PAYLOAD,3,3,U,0,0,512.0,0.107421875,0.10369491577148438,0.322016949509625,2.8810451425357155,7.551805050875039,0.19569471624266144,0.048828125,0.029296875,0.029296875,0.046443939208984375,0.028438568115234375,0.028438568115234375,0.09784735812133072,0.0547945205479452,0.0547945205479452
REAL,RAW,8,PAYLOAD,4,4,S,0,1,512.0,0.103515625,0.10451889038085938,0.3232938143250801,3.110496406326968,9.37549286807193,0.19569471624266144,0.03125,0.03125,0.041015625,0.0302734375,0.0302734375,0.039333343505859375,0.06262230919765166,0.06262230919765166,0.0821917808219178
REAL,RAW,9,PAYLOAD,5,0,J,1,1,512.0,0.08984375,0.0934906005859375,0.3057623269566372,3.4659093968339842,12.06510915292805,0.1643835616438356,0.033203125,0.0234375,0.033203125,0.032100677490234375,0.02288818359375,0.032100677490234375,0.06653620352250489,0.046966731898238745,0.06653620352250489
