dataset,mode,sequence_index,bit_true,bit_pred,d0,d1,margin_d0_minus_d1
REAL,RAW,4,0,0,3.291919947808351,7.8471346818604095,-4.555214734052059
REAL,RAW,5,1,1,8.610361059244145,3.0234201630196638,5.5869408962244815
REAL,RAW,6,0,0,1.8470592884664494,7.016739887569858,-5.169680599103408
REAL,RAW,7,0,1,4.506369001153991,2.6193648764504363,1.8870041247035547
REAL,RAW,8,1,1,5.842957303857322,2.1158440993206327,3.727113204536689
REAL,RAW,9,1,1,6.149355617524898,1.8878756972125688,4.261479920312329
REAL,RAW,10,0,0,4.275868559998662,5.207984829309451,-0.9321162693107894
REAL,RAW,11,0,0,3.0068862961267238,4.355656565868325,-1.3487702697416015
REAL,RAW,12,0,0,3.6158443053430056,3.927414705981957,-0.3115704006389515
REAL,RAW,13,0,1,7.355896228718653,6.722986981314831,0.6329092474038225
REAL,RAW,14,0,0,2.1137110306164213,5.858465449229387,-3.7447544186129655
REAL,RAW,15,0,0,3.881327689626831,3.968478114825977,-0.08715042519914595
REAL,RAW,16,0,1,5.574840161893015,2.885131350126886,2.6897088117661285
REAL,RAW,17,1,1,8.462315191192454,3.9471965169702212,4.515118674222233
REAL,RAW,18,1,1,6.497116877420049,3.2868989174608783,3.2102179599591705
REAL,RAW,19,0,1,5.706076155052976,2.680602939241461,3.025473215811515
REAL,RAW,20,0,1,6.88733843503398,6.672540000894738,0.21479843413924193
REAL,RAW,21,1,1,8.616089966508513,2.7271469503650856,5.888943016143427
REAL,RAW,22,1,1,6.612175693211053,2.420222903335962,4.19195278987509
REAL,RAW,23,1,1,5.137244937782265,2.974388538880342,2.162856398901923
REAL,RAW,24,1,1,7.836290342078199,2.984840780281942,4.851449561796256
REAL,RAW,25,0,0,3.9556939555059323,6.205022498699494,-2.2493285431935615
REAL,RAW,26,1,1,5.663970301417912,4.749888453674379,0.9140818477435326
REAL,RAW,27,0,0,3.35135194081673,3.971713579531138,-0.620361638714408
REAL,RAW,28,0,0,5.71446968921088,6.513955353301155,-0.799485664090275
REAL,RAW,29,0,1,5.083351947091241,4.473317268858382,0.610034678232859
REAL,RAW,30,0,1,5.179480324627449,2.4672011078148928,2.7122792168125565
REAL,RAW,31,1,1,6.23790644899799,2.6199806935069505,3.617925755491039
