dataset,mode,sequence_index,sequence_kind,payload_index,char_index,char_sent,bit_in_char,bit_sent,n,cons_mean,cons_var,cons_std,cons_skew,cons_kurt,cons_flicker,e1_mean,e2_mean,e3_mean,e1_var,e2_var,e3_var,e1_flicker,e2_flicker,e3_flicker
NULO,RAW,0,HEADER,-1,-1,,-1,0,1024.0,0.06640625,0.0717620849609375,0.2678844619624989,4.219421346029544,18.612805132639792,0.12903225806451613,0.025390625,0.0205078125,0.0205078125,0.024745941162109375,0.020087242126464844,0.020087242126464844,0.05083088954056696,0.04105571847507331,0.04105571847507331
NULO,RAW,1,HEADER,-1,-1,,-1,1,1024.0,0.0712890625,0.0720663070678711,0.26845168479238696,3.7780964507508674,14.182581283548434,0.1270772238514174,0.0361328125,0.01953125,0.015625,0.034827232360839844,0.0191497802734375,0.015380859375,0.06647116324535679,0.03714565004887586,0.02932551319648094
NULO,RAW,2,HEADER,-1,-1,,-1,0,1024.0,0.07421875,0.0726165771484375,0.2694746317344872,3.544510611997569,11.894435471155369,0.1348973607038123,0.0263671875,0.025390625,0.0224609375,0.025671958923339844,0.024745941162109375,0.021956443786621094,0.04887585532746823,0.05083088954056696,0.04105571847507331
NULO,RAW,3,HEADER,-1,-1,,-1,1,1024.0,0.076171875,0.07818222045898438,0.27961083752062327,3.7190913966977472,13.90520630496695,0.15249266862170088,0.0244140625,0.0322265625,0.01953125,0.023818016052246094,0.031188011169433594,0.0191497802734375,0.04887585532746823,0.06451612903225806,0.039100684261974585
NULO,RAW,4,PAYLOAD,0,0,J,0,0,1024.0,0.060546875,0.058834075927734375,0.24255736626153898,3.8889382151443224,14.180781694275005,0.11730205278592376,0.015625,0.0244140625,0.0205078125,0.015380859375,0.023818016052246094,0.020087242126464844,0.03128054740957967,0.04887585532746823,0.04105571847507331
NULO,RAW,5,PAYLOAD,1,1,A,0,1,1024.0,0.078125,0.075927734375,0.2755498763835687,3.4208855777478018,10.92621044033871,0.15053763440860216,0.0361328125,0.0234375,0.0185546875,0.034827232360839844,0.02288818359375,0.018210411071777344,0.07038123167155426,0.0469208211143695,0.03714565004887586
NULO,RAW,6,PAYLOAD,2,2,N,0,0,1024.0,0.0576171875,0.058203697204589844,0.24125442421765003,4.207697368805392,17.71440016475097,0.10948191593352884,0.017578125,0.02734375,0.0126953125,0.017269134521484375,0.0265960693359375,0.012534141540527344,0.03519061583577713,0.05278592375366569,0.02541544477028348
NULO,RAW,7,PAYLOAD,3,3,U,0,0,1024.0,0.0615234375,0.0714101791381836,0.2672268308725447,4.67050862383463,23.210288548501442,0.11534701857282502,0.025390625,0.025390625,0.0107421875,0.024745941162109375,0.024745941162109375,0.010626792907714844,0.04887585532746823,0.0469208211143695,0.021505376344086023
NULO,RAW,8,PAYLOAD,4,4,S,0,1,1024.0,0.0771484375,0.0790090560913086,0.2810854960529066,3.6851305362629434,13.615888368187608,0.14076246334310852,0.033203125,0.029296875,0.0146484375,0.032100677490234375,0.028438568115234375,0.014433860778808594,0.06451612903225806,0.056695992179863146,0.02932551319648094
NULO,RAW,9,PAYLOAD,5,0,J,1,1,1024.0,0.0732421875,0.07178401947021484,0.2679253990763377,3.576978684589433,12.154797669023761,0.13685239491691104,0.0244140625,0.0244140625,0.0244140625,0.023818016052246094,0.023818016052246094,0.023818016052246094,0.04887585532746823,0.04887585532746823,0.044965786901270774
NULO,RAW,10,PAYLOAD,6,1,A,1,0,1024.0,0.0595703125,0.061881065368652344,0.24875905082760777,4.279619864915398,18.820954501980133,0.11534701857282502,0.0244140625,0.0224609375,0.0126953125,0.023818016052246094,0.021956443786621094,0.012534141540527344,0.04887585532746823,0.043010752688172046,0.02541544477028348
NULO,RAW,11,PAYLOAD,7,2,N,1,0,1024.0,0.0791015625,0.0845632553100586,0.29079761916160624,3.810190725966602,14.937922446235703,0.15053763440860216,0.0302734375,0.03125,0.017578125,0.029356956481933594,0.0302734375,0.017269134521484375,0.05865102639296188,0.06256109481915934,0.03519061583577713
NULO,RAW,12,PAYLOAD,8,3,U,1,0,1024.0,0.0576171875,0.056250572204589844,0.23717203082275498,4.014844344359238,15.271449462847915,0.10948191593352884,0.01953125,0.0244140625,0.013671875,0.0191497802734375,0.023818016052246094,0.013484954833984375,0.039100684261974585,0.04887585532746823,0.02541544477028348
NULO,RAW,13,PAYLOAD,9,4,S,1,0,1024.0,0.080078125,0.08929061889648438,0.29881535920444985,3.9349102602656187,16.108342522610865,0.14858260019550343,0.033203125,0.021484375,0.025390625,0.032100677490234375,0.021022796630859375,0.024745941162109375,0.06451612903225806,0.043010752688172046,0.04887585532746823
