dataset,mode,sequence_index,bit_true,bit_pred,d0,d1,margin_d0_minus_d1
NULO,RAW,4,0,0,7.812018766511592,10.135144639109908,-2.3231258725983164
NULO,RAW,5,1,1,5.425114606347877,3.1787644976041274,2.246350108743749
NULO,RAW,6,0,0,9.805031206085777,10.859483827363238,-1.054452621277461
NULO,RAW,7,0,1,7.9061977481088,7.472559840866028,0.4336379072427725
NULO,RAW,8,1,1,6.2840543841831895,2.998158017838122,3.2858963663450673
NULO,RAW,9,1,0,2.4305467005195265,4.66678328476478,-2.236236584245254
NULO,RAW,10,0,0,7.94647656668274,8.62547141283647,-0.6789948461537296
NULO,RAW,11,0,1,7.249260361923413,4.909127726609506,2.340132635313907
NULO,RAW,12,0,0,9.994679630745415,11.139800674871626,-1.1451210441262116
NULO,RAW,13,0,1,9.00678021075513,8.355017169657264,0.6517630410978654
NULO,RAW,14,0,0,6.036987388875791,7.817597616216762,-1.7806102273409712
NULO,RAW,15,0,1,7.061104588293537,5.1625943799084935,1.8985102083850434
NULO,RAW,16,0,0,4.262583504370055,5.999348334684094,-1.7367648303140388
NULO,RAW,17,1,1,5.378925174740972,3.096427085024434,2.2824980897165377
NULO,RAW,18,1,0,2.81923402790873,4.877149732097824,-2.0579157041890945
NULO,RAW,19,0,0,11.753072000135303,12.728972842108892,-0.9759008419735888
NULO,RAW,20,0,0,11.996478253187004,13.19645270483407,-1.1999744516470656
NULO,RAW,21,1,0,17.748870268096777,19.251773905635186,-1.5029036375384095
NULO,RAW,22,1,0,3.339140988975546,3.9994623138590666,-0.6603213248835207
NULO,RAW,23,1,0,9.693082321174353,11.348006007717306,-1.6549236865429524
NULO,RAW,24,1,0,7.770207463668621,8.567375268519157,-0.7971678048505364
NULO,RAW,25,0,0,11.052064731258886,12.53045146374116,-1.4783867324822744
NULO,RAW,26,1,0,3.664507123944755,5.435949183300751,-1.7714420593559965
NULO,RAW,27,0,0,7.638005039370957,7.846954007476678,-0.20894896810572128
NULO,RAW,28,0,1,11.528861400205084,10.498867938142178,1.0299934620629063
NULO,RAW,29,0,0,5.1829108892349005,5.608443592938811,-0.4255327037039107
NULO,RAW,30,0,0,5.188473605706768,7.405069476851326,-2.2165958711445573
NULO,RAW,31,1,0,7.1698934351825585,8.86501322812491,-1.6951197929423518
NULO,RAW,32,1,0,4.675941731946595,7.37191381877793,-2.6959720868313353
NULO,RAW,33,0,0,5.013188067515302,6.8523345755828435,-1.8391465080675413
NULO,RAW,34,1,0,12.46949181143459,14.014404048425074,-1.5449122369904842
NULO,RAW,35,0,0,3.8388776004089546,5.62253266246725,-1.783655062058295
NULO,RAW,36,1,0,11.896856347286539,13.326663998890828,-1.429807651604289
NULO,RAW,37,0,0,1.99443524442062,3.9254220181857598,-1.9309867737651398
NULO,RAW,38,1,0,9.912772798934832,12.232685120812251,-2.3199123218774194
NULO,RAW,39,0,1,7.844974430397909,5.240342727684335,2.604631702713574
NULO,RAW,40,1,0,4.205135509721671,4.587767063672495,-0.3826315539508238
NULO,RAW,41,0,0,8.521122976177239,9.376199559193127,-0.8550765830158884
NULO,RAW,42,1,0,9.0489079977491,10.651320076878147,-1.6024120791290475
NULO,RAW,43,1,0,12.885122141660863,14.142336616865967,-1.257214475205103
NULO,RAW,44,0,0,8.373453340814374,10.191080843924587,-1.817627503110213
NULO,RAW,45,1,0,7.859347050982039,9.04896110848871,-1.1896140575066712
NULO,RAW,46,0,0,12.210232899823037,14.039039078180478,-1.828806178357441
NULO,RAW,47,1,0,9.431398392679233,9.697647616777516,-0.2662492240982832
NULO,RAW,48,1,0,8.13135822246171,10.580042465556852,-2.4486842430951423
NULO,POST_Q1_1,4,0,0,6.191063175928688,7.276413530135453,-1.0853503542067644
NULO,POST_Q1_1,5,1,1,6.9481152470361165,5.776242422543937,1.1718728244921799
NULO,POST_Q1_1,6,0,0,8.963697018476365,9.116213551956585,-0.15251653348022032
NULO,POST_Q1_1,7,0,1,10.63448545121103,10.054475081405034,0.5800103698059953
NULO,POST_Q1_1,8,1,1,4.421601683853268,3.8883192960134383,0.5332823878398298
NULO,POST_Q1_1,9,1,0,1.896012644377823,3.7604889537717203,-1.8644763093938974
NULO,POST_Q1_1,10,0,0,7.626982159337981,7.805805057539935,-0.17882289820195396
NULO,POST_Q1_1,11,0,0,1.4948470599165646,2.4393079203057564,-0.9444608603891917
NULO,POST_Q1_1,12,0,1,5.313922119449346,4.051952005776822,1.2619701136725245
NULO,POST_Q1_1,13,0,0,1.6698969734885396,2.377140189672566,-0.7072432161840263
NULO,POST_Q1_1,14,0,0,4.447331460012845,5.8381848340451095,-1.3908533740322646
