dataset,mode,bit_sent,n,consenso_mean,espiao_1_mean,espiao_2_mean,espiao_3_mean,q1_rate,q0_rate
NULO,RAW,0,26624,0.06640625,0.023775540865384616,0.024752103365384616,0.017878605769230768,0.4872295673076923,0.44249549278846156
NULO,RAW,1,23552,0.06530230978260869,0.024923573369565216,0.022078804347826088,0.018299932065217392,0.5587211277173914,0.4429772418478261
NULO,POST_Q1_1,0,12972,0.06398396546407648,0.02320382362010484,0.024437249460376193,0.016342892383595438,1.0,0.4424915201973481
NULO,POST_Q1_1,1,13159,0.06740633786761913,0.025685842389239304,0.023178053043544342,0.018542442434835472,1.0,0.4365073333839957
PHAN_STRICT_POSTHOC,RAW,0,26624,0.08289513221153846,0.03297776442307692,0.020357572115384616,0.029559795673076924,0.47524789663461536,0.4899338942307692
PHAN_STRICT_POSTHOC,RAW,1,23552,0.07982336956521739,0.03248131793478261,0.018809442934782608,0.028532608695652172,0.46921705163043476,0.4837805706521739
PHAN_STRICT_POSTHOC,POST_Q1_1,0,12653,0.13814905555994625,0.04963249822176559,0.03833083063305145,0.05018572670512922,1.0,0.9219947838457283
PHAN_STRICT_POSTHOC,POST_Q1_1,1,11051,0.13510089584652973,0.05121708442674871,0.03592435073748982,0.0479594606822912,1.0,0.9158447199348475
REAL,RAW,0,26624,0.08109224759615384,0.03414212740384615,0.018141526442307692,0.02880859375,0.4665715144230769,0.47960486778846156
REAL,RAW,1,23552,0.08126698369565218,0.02114470108695652,0.03617527173913043,0.023947010869565216,0.5051800271739131,0.4719344429347826
REAL,POST_Q1_1,0,12422,0.13524392207374014,0.05192400579616809,0.03469650619867976,0.04862341007889229,1.0,0.9162775720495895
REAL,POST_Q1_1,1,11898,0.08001344763825853,0.02042360060514372,0.037821482602118005,0.021768364430996806,1.0,0.4797444948730879
